DISTRICT,Year,Murder,Dacoity
ZUNHEBOTO,2010,0,0
TOTAL,2010,0,0
ANGUL,2010,0,0
BALASORE,2010,0,0
BARAGARH,2010,0,0
BERHAMPUR,2010,0,0
BHADRAK,2010,0,0
BOLANGIR,2010,0,0
BOUDH,2010,0,0
CUTTACK,2010,0,0
DCP BBSR,2010,0,0
DCP CTC,2010,0,0
DEOGARH,2010,1,0
DHENKANAL,2010,0,0
GAJAPATI,2010,0,0
GANJAM,2010,0,0
JAGATSINGHPUR,2010,0,0
JAJPUR,2010,0,0
JHARSUGUDA,2010,0,0
KALAHANDI,2010,1,0
KANDHAMAL,2010,0,0
KENDRAPARA,2010,0,0
KEONJHAR,2010,0,0
KHURDA,2010,0,0
KORAPUT,2010,0,0
MALKANGIR,2010,0,0
MAYURBHANJ,2010,0,0
NAYAGARH,2010,0,0
NOWRANGPUR,2010,3,0
NUAPADA,2010,0,0
PURI,2010,0,0
RAYAGADA,2010,0,0
ROURKELA,2010,1,0
SAMBALPUR,2010,0,0
SONEPUR,2010,0,0
SRP(CUTTACK),2010,0,0
SRP(ROURKELA),2010,0,0
SUNDARGARH,2010,0,0
TOTAL,2010,6,0
AMRITSAR RURAL,2010,0,0
BARNALA,2010,0,0
BATALA,2010,0,0
BHATINDA,2010,0,0
CP AMRITSAR,2010,0,0
CP JALANDHAR,2010,0,0
CP LUDHIANA,2010,0,0
FARIDKOT,2010,0,0
FATEHGARH SAHIB,2010,0,0
FEROZPUR,2010,0,0
G.R.P,2010,0,0
GURDASPUR,2010,0,0
HOSHIARPUR,2010,0,0
JALANDHAR RURAL,2010,0,0
KAPURTHALA,2010,0,0
KHANNA,2010,0,0
LUDHIANA RURAL,2010,0,0
MANSA,2010,0,0
MOGA,2010,0,0
MUKTSAR,2010,0,0
PATIALA,2010,0,0
ROPAR,2010,0,0
SANGRUR,2010,0,0
SAS NGR,2010,0,0
SBS NAGAR,2010,0,0
TARN TARAN,2010,0,0
TOTAL,2010,0,0
AJMER,2010,0,0
ALWAR,2010,3,0
BANSWARA,2010,0,0
BARAN,2010,2,0
BARMER,2010,1,0
BHARATPUR,2010,1,0
BHILWARA,2010,1,0
BIKANER,2010,0,0
BUNDI,2010,1,0
CHITTORGARH,2010,1,0
CHURU,2010,0,0
DAUSA,2010,2,0
DHOLPUR,2010,0,0
DUNGARPUR,2010,0,0
G.R.P. AJMER,2010,0,0
G.R.P. JODHPUR,2010,0,0
GANGANAGAR,2010,0,0
HANUMANGARH,2010,0,0
JAIPUR EAST,2010,0,0
JAIPUR NORTH,2010,0,0
JAIPUR RURAL,2010,2,0
JAIPUR SOUTH,2010,0,0
JAISALMER,2010,0,0
JALORE,2010,0,0
JHALAWAR,2010,1,0
JHUNJHUNU,2010,0,0
JODHPUR CITY,2010,0,0
JODHPUR RURAL,2010,0,0
KARAULI,2010,1,0
KOTA CITY,2010,1,0
KOTA RURAL,2010,0,0
NAGAUR,2010,0,0
PALI,2010,0,0
PRATAPGARH,2010,0,0
RAJSAMAND,2010,1,0
SAWAI MADHOPUR,2010,2,0
SIKAR,2010,0,0
SIROHI,2010,0,0
TONK,2010,0,0
UDAIPUR,2010,1,0
TOTAL,2010,21,0
EAST,2010,0,0
NORTH,2010,0,0
SOUTH,2010,0,0
WEST,2010,0,0
TOTAL,2010,0,0
ARIYALUR,2010,0,0
CHENNAI,2010,0,0
CHENNAI RLY.,2010,0,0
CHENNAISUBURBAN,2010,0,0
COIMBATORE RURAL,2010,0,0
COIMBATORE URBAN,2010,0,0
CUDDALORE,2010,0,0
DHARMAPURI,2010,0,0
DINDIGUL,2010,0,0
ERODE,2010,1,0
KANCHIPURAM,2010,0,0
KANYAKUMARI,2010,0,0
KARUR,2010,0,0
KRISHNAGIRI,2010,0,0
MADURAI RURAL,2010,0,0
MADURAI URBAN,2010,0,0
NAGAPATTINAM,2010,0,0
NAMAKKAL,2010,0,0
NILGIRIS,2010,1,0
PERAMBALUR,2010,0,0
PUDUKOTTAI,2010,0,0
RAMNATHAPURAM,2010,0,0
SALEM RURAL,2010,0,0
SALEM URBAN,2010,0,0
SIVAGANGAI,2010,0,0
THANJAVUR,2010,0,0
THENI,2010,0,0
THIRUNELVELI RURAL,2010,0,0
THIRUNELVELI URBAN,2010,0,0
THIRUVALLUR,2010,0,0
THIRUVANNAMALAI,2010,0,0
THIRUVARUR,2010,0,0
THOOTHUGUDI,2010,0,0
TIRUPPUR,2010,0,0
TRICHY RLY.,2010,0,0
TRICHY RURAL,2010,0,0
TRICHY URBAN,2010,0,0
VELLORE,2010,0,0
VILLUPURAM,2010,0,0
VIRUDHUNAGAR,2010,0,0
TOTAL,2010,2,0
DHALAI,2010,0,0
G.R.P.,2010,0,0
NORTH,2010,0,0
SOUTH,2010,0,0
WEST,2010,0,0
TOTAL,2010,0,0
AGRA,2010,0,0
ALIGARH,2010,0,0
ALLAHABAD,2010,0,0
AMBEDKAR NAGAR,2010,0,0
AURAIYA,2010,0,0
AZAMGARH,2010,0,0
BADAUN,2010,0,0
BAGHPAT,2010,0,0
BAHRAICH,2010,0,0
BALLIA,2010,0,0
BALRAMPUR,2010,0,0
BANDA,2010,0,0
BARABANKI,2010,0,0
BAREILLY,2010,0,0
BASTI,2010,0,0
BIJNOR,2010,0,0
BULANDSHAHAR,2010,0,0
CHANDOLI,2010,0,0
CHITRAKOOT DHAM,2010,0,0
CSM NAGAR,2010,0,0
DEORIA,2010,0,0
ETAH,2010,0,0
ETAWAH,2010,0,0
FAIZABAD,2010,0,0
FATEHGARH,2010,0,0
FATEHPUR,2010,0,0
FIROZABAD,2010,0,0
G.R.P.,2010,0,0
GAUTAMBUDH NAGAR,2010,0,0
GHAZIABAD,2010,0,0
GHAZIPUR,2010,0,0
GONDA,2010,0,0
GORAKHPUR,2010,0,0
HAMIRPUR,2010,0,0
HARDOI,2010,0,0
HATHRAS,2010,0,0
J.P.NAGAR,2010,0,0
JALAUN,2010,0,0
JAUNPUR,2010,0,0
JHANSI,2010,0,0
KANNAUJ,2010,0,0
KANPUR NAGAR,2010,0,0
KANSHIRAM NAGAR,2010,0,0
KAUSHAMBI,2010,0,0
KHIRI,2010,0,0
KUSHI NAGAR,2010,0,0
LALITPUR,2010,0,0
LUCKNOW,2010,0,0
MAHARAJGANJ,2010,0,0
MAHOBA,2010,0,0
MAINPURI,2010,0,0
MATHURA,2010,0,0
MAU,2010,0,0
MEERUT,2010,0,0
MIRZAPUR,2010,0,0
MORADABAD,2010,0,0
MUZAFFARNAGAR,2010,0,0
PILIBHIT,2010,0,0
PRATAPGARH,2010,0,0
RAIBAREILLY,2010,0,0
RAMABAI NAGAR,2010,0,0
RAMPUR,2010,0,0
SAHARANPUR,2010,0,0
SANT KABIRNAGAR,2010,0,0
SHAHJAHANPUR,2010,0,0
SHRAWASTI,2010,0,0
SIDHARTHNAGAR,2010,0,0
SITAPUR,2010,0,0
SONBHADRA,2010,0,0
ST.RAVIDASNAGAR,2010,0,0
SULTANPUR,2010,0,0
UNNAO,2010,0,0
VARANASI,2010,0,0
TOTAL,2010,0,0
ALMORA,2010,0,0
BAGESHWAR,2010,0,0
CHAMOLI,2010,0,0
CHAMPAWAT,2010,0,0
DEHRADUN,2010,0,0
HARIDWAR,2010,0,0
NAINITAL,2010,0,0
PAURI GARHWAL,2010,0,0
PITHORAGARH,2010,0,0
RUDRA PRAYAG,2010,0,0
TEHRI GARHWAL,2010,0,0
UDHAMSINGH NAGAR,2010,0,0
UTTARKASHI,2010,0,0
TOTAL,2010,0,0
24 PARGANAS NORTH,2010,0,0
24 PARGANAS SOUTH,2010,0,0
ASANSOL,2010,0,0
BANKURA,2010,0,0
BIRBHUM,2010,0,0
BURDWAN,2010,0,0
COOCHBEHAR,2010,0,0
DAKSHIN DINAJPUR,2010,0,0
DARJEELING,2010,0,0
HOOGHLY,2010,0,0
HOWRAH,2010,0,0
HOWRAH G.R.P.,2010,0,0
JALPAIGURI,2010,0,0
KHARAGPUR G.R.P.,2010,0,0
KOLKATA,2010,0,0
MALDA,2010,0,0
MURSHIDABAD,2010,0,0
NADIA,2010,0,0
PASCHIM MIDNAPUR,2010,0,0
PURAB MIDNAPUR,2010,0,0
PURULIA,2010,0,0
SEALDAH G.R.P.,2010,0,0
SILIGURI G.R.P.,2010,0,0
UTTAR DINAJPUR,2010,0,0
TOTAL,2010,0,0
ANDAMAN,2010,0,0
NICOBAR,2010,0,0
TOTAL,2010,0,0
CHANDIGARH,2010,0,0
TOTAL,2010,0,0
D and N HAVELI,2010,0,0
TOTAL,2010,0,0
DAMAN,2010,0,0
DIU,2010,0,0
TOTAL,2010,0,0
CAW,2010,0,0
CENTRAL,2010,0,0
CRIME BRANCH,2010,0,0
EAST,2010,0,0
EOW,2010,0,0
GRP(RLY),2010,0,0
IGI AIRPORT,2010,0,0
NEW DELHI,2010,0,0
NORTH,2010,0,0
NORTH-EAST,2010,0,0
NORTH-WEST,2010,0,0
OUTER,2010,0,0
SOUTH,2010,0,0
SOUTH-EAST,2010,0,0
SOUTH-WEST,2010,0,0
STF,2010,0,0
WEST,2010,0,0
TOTAL,2010,0,0
LAKSHADWEEP,2010,0,0
TOTAL,2010,0,0
KARAIKAL,2010,0,0
PUDUCHERRY,2010,0,0
TOTAL,2010,0,0
ADILABAD,2011,0,0
ANANTAPUR,2011,0,0
CHITTOOR,2011,0,0
CUDDAPAH,2011,0,0
CYBERABAD,2011,0,0
EAST GODAVARI,2011,2,0
GUNTAKAL RLY.,2011,0,0
GUNTUR,2011,0,0
GUNTUR URBAN,2011,0,0
HYDERABAD CITY,2011,0,0
KARIMNAGAR,2011,0,0
KHAMMAM,2011,0,0
KRISHNA,2011,0,0
KURNOOL,2011,0,0
MAHABOOBNAGAR,2011,3,0
MEDAK,2011,0,0
NALGONDA,2011,0,0
NELLORE,2011,0,0
NIZAMABAD,2011,1,0
PRAKASHAM,2011,0,0
RAJAHMUNDRY,2011,0,0
RANGA REDDY,2011,0,0
SECUNDERABAD RLY.,2011,0,0
SRIKAKULAM,2011,0,0
TIRUPATHI URBAN,2011,0,0
VIJAYAWADA CITY,2011,0,0
VIJAYAWADA RLY.,2011,0,0
VISAKHA RURAL,2011,3,0
VISAKHAPATNAM,2011,0,0
VIZIANAGARAM,2011,0,0
WARANGAL,2011,0,0
WARANGAL URBAN,2011,0,0
WEST GODAVARI,2011,0,0
TOTAL,2011,9,0
ANJAW,2011,0,0
CHANGLANG,2011,0,0
DIBANG VALLEY,2011,0,0
K/KUMEY,2011,0,0
KAMENG EAST,2011,0,0
KAMENG WEST,2011,0,0
LOHIT,2011,2,0
PAPUM PARE,2011,0,0
RURAL,2011,0,0
SIANG EAST,2011,0,0
SIANG UPPER,2011,0,0
SIANG WEST,2011,0,0
SUBANSIRI LOWER,2011,0,0
SUBANSIRI UPPER,2011,0,0
TAWANG,2011,0,0
TIRAP,2011,0,0
UPPER DIBANG VALLEY,2011,0,0
TOTAL,2011,2,0
BARPETA,2011,0,0
BASKA,2011,0,0
BONGAIGAON,2011,0,0
C.I.D.,2011,0,0
CACHAR,2011,0,0
CHIRANG,2011,0,0
DARRANG,2011,0,0
DHEMAJI,2011,0,0
DHUBRI,2011,0,0
DIBRUGARH,2011,0,0
G.R.P.,2011,0,0
GOALPARA,2011,0,0
GOLAGHAT,2011,0,0
GUWAHATI CITY,2011,0,0
HAILAKANDI,2011,0,0
JORHAT,2011,0,0
KAMRUP,2011,0,0
KARBI ANGLONG,2011,0,0
KARIMGANJ,2011,0,0
KOKRAJHAR,2011,0,0
LAKHIMPUR,2011,0,0
MORIGAON,2011,0,0
N.C.HILLS,2011,0,0
NAGAON,2011,0,0
NALBARI,2011,0,0
R.P.O.,2011,0,0
SIBSAGAR,2011,0,0
SONITPUR,2011,0,0
TINSUKIA,2011,0,0
UDALGURI,2011,0,0
TOTAL,2011,0,0
ARARIA,2011,0,0
ARWAL,2011,0,0
AURANGABAD,2011,0,0
BAGAHA,2011,0,0
BANKA,2011,0,0
BEGUSARAI,2011,0,0
BETTIAH,2011,0,0
BHABHUA,2011,0,0
BHAGALPUR,2011,0,0
BHOJPUR,2011,0,0
BUXAR,2011,0,0
DARBHANGA,2011,0,0
GAYA,2011,0,0
GOPALGANJ,2011,0,0
JAMALPUR RLY.,2011,0,0
JAMUI,2011,1,0
JEHANABAD,2011,0,0
KATIHAR,2011,0,0
KATIHAR RLY.,2011,0,0
KHAGARIA,2011,0,0
KISHANGANJ,2011,0,0
LAKHISARAI,2011,0,0
MADHEPURA,2011,0,0
MADHUBANI,2011,0,0
MOTIHARI,2011,0,0
MUNGER,2011,0,0
MUZAFFARPUR,2011,0,0
MUZAFFARPUR RLY.,2011,0,0
NALANDA,2011,0,0
NAUGACHIA,2011,0,0
NAWADAH,2011,0,0
PATNA,2011,0,0
PATNA RLY.,2011,0,0
PURNEA,2011,0,0
ROHTAS,2011,0,0
SAHARSA,2011,0,0
SAMASTIPUR,2011,0,0
SARAN,2011,0,0
SHEIKHPURA,2011,0,0
SHEOHAR,2011,0,0
SITAMARHI,2011,0,0
SIWAN,2011,0,0
SUPAUL,2011,0,0
VAISHALI,2011,0,0
TOTAL,2011,1,0
BALRAMPUR,2011,1,0
BILASPUR,2011,3,0
BIZAPUR,2011,0,0
DANTEWARA,2011,0,0
DHAMTARI,2011,0,0
DURG,2011,1,0
GARIYABAND,2011,1,0
GRP RAIPUR,2011,0,0
JAGDALPUR,2011,6,0
JANJGIR,2011,2,0
JASHPUR,2011,1,0
KABIRDHAM,2011,1,0
KANKER,2011,0,0
KORBA,2011,1,0
KORIYA,2011,2,0
MAHASAMUND,2011,0,0
NARAYANPUR,2011,1,0
RAIGARH,2011,0,0
RAIPUR,2011,0,0
RAJNANDGAON,2011,1,0
SARGUJA,2011,1,0
SURAJPUR,2011,0,0
TOTAL,2011,22,0
NORTH GOA,2011,0,0
SOUTH GOA,2011,0,0
TOTAL,2011,0,0
AHMEDABAD COMMR.,2011,0,0
AHMEDABAD RURAL,2011,1,0
AHWA-DANG,2011,0,0
AMRELI,2011,0,0
ANAND,2011,0,0
BHARUCH,2011,2,0
BHAVNAGAR,2011,0,0
CID CRIME,2011,0,0
DAHOD,2011,0,0
GANDHINAGAR,2011,1,0
HIMATNAGAR,2011,1,0
JAMNAGAR,2011,0,0
JUNAGADH,2011,0,0
KHEDA NORTH,2011,0,0
KUTCH (EAST(G)),2011,0,0
KUTCH (WEST-BHUJ),2011,0,0
MEHSANA,2011,0,0
NARMADA,2011,0,0
NAVSARI,2011,1,0
PALANPUR,2011,1,0
PANCHMAHAL,2011,0,0
PATAN,2011,0,0
PORBANDAR,2011,0,0
RAJKOT COMMR.,2011,0,0
RAJKOT RURAL,2011,0,0
SURAT COMMR.,2011,1,0
SURAT RURAL,2011,1,1
SURENDRANAGAR,2011,0,0
TAPI,2011,0,0
VADODARA COMMR.,2011,0,0
VADODARA RURAL,2011,0,0
VALSAD,2011,0,0
W.RLY AHMEDABAD,2011,0,0
W.RLY VADODARA,2011,0,0
TOTAL,2011,9,1
AMBALA,2011,0,0
BHIWANI,2011,0,0
FARIDABAD,2011,0,0
FATEHABAD,2011,0,0
GRP,2011,0,0
GURGAON,2011,0,0
HISSAR,2011,0,0
JHAJJAR,2011,0,0
JIND,2011,0,0
KAITHAL,2011,0,0
KARNAL,2011,0,0
KURUKSHETRA,2011,0,0
MAHENDRAGARH,2011,0,0
MEWAT,2011,0,0
PALWAL,2011,0,0
PANCHKULA,2011,0,0
PANIPAT,2011,0,0
REWARI,2011,0,0
ROHTAK,2011,0,0
SIRSA,2011,0,0
SONIPAT,2011,0,0
YAMUNANAGAR,2011,0,0
TOTAL,2011,0,0
BADDIPOLICEDIST,2011,0,0
BILASPUR,2011,0,0
CHAMBA,2011,0,0
CID,2011,0,0
G.R.P.,2011,0,0
HAMIRPUR,2011,0,0
KANGRA,2011,0,0
KINNAUR,2011,0,0
KULLU,2011,0,0
LAHAUL-SPITI,2011,0,0
MANDI,2011,0,0
SHIMLA,2011,0,0
SIRMAUR,2011,0,0
SOLAN,2011,0,0
UNA,2011,0,0
TOTAL,2011,0,0
ANANTNAG,2011,0,0
AWANTIPORA,2011,0,0
BANDIPORA,2011,0,0
BARAMULLA,2011,0,0
BUDGAM,2011,0,0
CRIME JAMMU,2011,0,0
CRIME SRINAGAR,2011,0,0
DODA,2011,0,0
GANDERBAL,2011,0,0
HANDWARA,2011,0,0
JAMMU,2011,0,0
KARGIL,2011,0,0
KATHUA,2011,0,0
KISHTWAR,2011,0,0
KULGAM,2011,0,0
KUPWARA,2011,0,0
LEH,2011,0,0
POONCH,2011,0,0
PULWAMA,2011,0,0
RAILWAYS JAMMU,2011,0,0
RAILWAYS KASHMIR,2011,0,0
RAJOURI,2011,0,0
RAMBAN,2011,0,0
REASI,2011,0,0
SAMBA,2011,0,0
SHOPIAN,2011,0,0
SOPORE,2011,0,0
SRINAGAR,2011,0,0
UDHAMPUR,2011,0,0
TOTAL,2011,0,0
BOKARO,2011,0,0
CHAIBASA,2011,0,0
CHATRA,2011,0,0
DEOGHAR,2011,0,0
DHANBAD,2011,0,0
DHANBAD RLY.,2011,0,0
DUMKA,2011,0,0
GARHWA,2011,0,0
GIRIDIH,2011,0,0
GODDA,2011,0,0
GUMLA,2011,0,0
HAZARIBAGH,2011,0,0
JAMSHEDPUR,2011,2,1
JAMSHEDPUR RLY.,2011,0,0
JAMTARA,2011,0,0
KHUNTI,2011,0,0
KODERMA,2011,0,0
LATEHAR,2011,0,0
LOHARDAGGA,2011,0,0
PAKUR,2011,0,0
PALAMU,2011,0,0
RAMGARH,2011,0,0
RANCHI,2011,0,0
SAHEBGANJ,2011,2,0
SARAIKELA,2011,0,0
SIMDEGA,2011,0,0
TOTAL,2011,4,1
BAGALKOT,2011,0,0
BANGALORE COMMR.,2011,0,0
BANGALORE RURAL,2011,0,0
BELGAUM,2011,2,0
BELLARY,2011,0,0
BIDAR,2011,0,0
BIJAPUR,2011,0,0
CBPURA,2011,0,0
CHAMARAJNAGAR,2011,0,0
CHICKMAGALUR,2011,0,0
CHITRADURGA,2011,0,0
DAKSHIN KANNADA,2011,0,0
DAVANAGERE,2011,0,0
DHARWAD COMMR.,2011,0,0
DHARWAD RURAL,2011,0,0
GADAG,2011,0,0
GULBARGA,2011,0,0
HASSAN,2011,0,0
HAVERI,2011,0,0
K.G.F.,2011,0,0
KODAGU,2011,0,0
KOLAR,2011,0,0
KOPPAL,2011,0,0
MANDYA,2011,0,0
MANGALORE CITY,2011,0,0
MYSORE COMMR.,2011,0,0
MYSORE RURAL,2011,0,0
RAICHUR,2011,0,0
RAILWAYS,2011,0,0
RAMANAGAR,2011,0,0
SHIMOGA,2011,1,0
TUMKUR,2011,0,0
UDUPI,2011,0,0
UTTAR KANNADA,2011,0,0
YADGIRI,2011,0,0
TOTAL,2011,3,0
ALAPUZHA,2011,0,0
ERNAKULAM COMMR.,2011,0,0
ERNAKULAM RURAL,2011,0,0
IDUKKI,2011,0,0
KANNUR,2011,0,0
KASARGOD,2011,0,0
KOLLAM COMMR.,2011,0,0
KOLLAM RURAL,2011,0,0
KOTTAYAM,2011,0,0
KOZHIKODE COMMR.,2011,0,0
KOZHIKODE RURAL,2011,0,0
MALAPPURAM,2011,0,0
PALAKKAD,2011,0,0
PATHANAMTHITTA,2011,0,0
RAILWAYS,2011,0,0
THRISSUR COMMR.,2011,0,0
THRISSUR RURAL,2011,0,0
TRIVANDRUM COMMR.,2011,0,0
TRIVANDRUM RURAL,2011,0,0
WAYANADU,2011,0,0
TOTAL,2011,0,0
ALIRAJPUR,2011,1,0
ANUPPUR,2011,3,1
ASHOK NAGAR,2011,2,0
BALAGHAT,2011,2,0
BARWANI,2011,0,0
BETUL,2011,3,0
BHIND,2011,0,0
BHOPAL,2011,0,0
BHOPAL RLY.,2011,0,0
BURHANPUR,2011,0,0
CHHATARPUR,2011,0,0
CHHINDWARA,2011,0,0
DAMOH,2011,2,0
DATIYA,2011,0,0
DEWAS,2011,0,0
DHAR,2011,1,0
DINDORI,2011,1,0
GUNA,2011,0,1
GWALIOR,2011,0,0
HARDA,2011,1,0
HOSHANGABAD,2011,1,0
INDORE,2011,4,0
INDORE RLY.,2011,0,0
JABALPUR,2011,0,0
JABALPUR RLY.,2011,0,0
JHABUA,2011,0,0
KATNI,2011,2,0
KHANDWA,2011,3,0
KHARGON,2011,2,0
MANDLA,2011,1,0
MANDSAUR,2011,1,0
MORENA,2011,0,0
NARSINGHPUR,2011,1,0
NEEMUCH,2011,0,0
PANNA,2011,0,0
RAISEN,2011,0,0
RAJGARH,2011,0,0
RATLAM,2011,0,0
REWA,2011,2,0
SAGAR,2011,3,0
SATNA,2011,1,0
SEONI,2011,2,0
SHAHDOL,2011,1,0
SHAJAPUR,2011,0,0
SHEOPUR,2011,0,0
SHIVPURI,2011,2,0
SIDHI,2011,0,0
SIHORE,2011,0,0
SINGRAULI,2011,5,0
TIKAMGARH,2011,0,0
UJJAIN,2011,1,0
UMARIYA,2011,1,0
VIDISHA,2011,0,0
TOTAL,2011,49,2
AHMEDNAGAR,2011,3,0
AKOLA,2011,0,0
AMRAVATI COMMR.,2011,0,0
AMRAVATI RURAL,2011,0,0
AURANGABAD COMMR.,2011,0,0
AURANGABAD RURAL,2011,2,0
BEED,2011,0,1
BHANDARA,2011,1,0
BULDHANA,2011,0,0
CHANDRAPUR,2011,0,0
DHULE,2011,1,1
GADCHIROLI,2011,1,0
GONDIA,2011,0,0
HINGOLI,2011,0,0
JALGAON,2011,0,0
JALNA,2011,0,1
KOLHAPUR,2011,0,0
LATUR,2011,0,0
MUMBAI COMMR.,2011,0,0
MUMBAI RLY.,2011,0,0
NAGPUR COMMR.,2011,0,0
NAGPUR RLY.,2011,0,0
NAGPUR RURAL,2011,2,0
NANDED,2011,0,0
NANDURBAR,2011,0,0
NASIK COMMR.,2011,0,0
NASIK RURAL,2011,0,0
NAVI MUMBAI,2011,1,0
OSMANABAD,2011,0,0
PARBHANI,2011,0,0
PUNE COMMR.,2011,0,0
PUNE RLY.,2011,0,0
PUNE RURAL,2011,0,0
RAIGAD,2011,1,0
RATNAGIRI,2011,0,0
SANGLI,2011,0,0
SATARA,2011,0,0
SINDHUDURG,2011,0,0
SOLAPUR COMMR.,2011,0,0
SOLAPUR RURAL,2011,0,0
THANE COMMR.,2011,0,0
THANE RURAL,2011,2,0
WARDHA,2011,0,0
WASHIM,2011,1,0
YAVATMAL,2011,1,0
TOTAL,2011,16,3
BISHNUPUR,2011,0,0
CHANDEL,2011,0,0
CHURACHANDPUR,2011,0,0
CID,2011,0,0
IMPHAL EAST,2011,0,0
IMPHAL WEST,2011,0,0
SENAPATI,2011,0,0
TAMENGLONG,2011,0,0
THOUBAL,2011,0,0
UKHRUL,2011,0,0
TOTAL,2011,0,0
GARO HILLS EAST,2011,0,0
GARO HILLS SOUTH,2011,0,0
GARO HILLS WEST,2011,0,0
JAINTIA HILLS,2011,0,0
KHASI HILLS EAST,2011,0,0
KHASI HILLS WEST,2011,0,0
RI-BHOI,2011,0,0
TOTAL,2011,0,0
AIZAWL,2011,0,0
CHAMPHAI,2011,0,0
KOLASIB,2011,0,0
LAWNGTLAI,2011,0,0
LUNGLEI,2011,0,0
MAMIT,2011,0,0
SAIHA,2011,0,0
SERCHHIP,2011,0,0
TOTAL,2011,0,0
DIMAPUR,2011,0,0
KIPHIRE,2011,0,0
KOHIMA,2011,0,0
LONGLENG,2011,0,0
MOKOKCHUNG,2011,0,0
MON,2011,0,0
PEREN,2011,0,0
PHEK,2011,0,0
TUENSANG,2011,0,0
WOKHA,2011,0,0
ZUNHEBOTO,2011,0,0
TOTAL,2011,0,0
ANGUL,2011,0,0
BALASORE,2011,0,0
BARAGARH,2011,0,0
BERHAMPUR,2011,0,0
BHADRAK,2011,0,0
BOLANGIR,2011,0,0
BOUDH,2011,0,0
CUTTACK,2011,0,0
DCP BBSR,2011,0,0
DCP CTC,2011,0,0
DEOGARH,2011,0,0
DHENKANAL,2011,0,0
GAJAPATI,2011,0,0
GANJAM,2011,0,0
JAGATSINGHPUR,2011,0,0
JAJPUR,2011,0,0
JHARSUGUDA,2011,1,0
KALAHANDI,2011,3,0
KANDHAMAL,2011,0,0
KENDRAPARA,2011,0,0
KEONJHAR,2011,0,0
KHURDA,2011,0,0
KORAPUT,2011,0,0
MALKANGIR,2011,0,0
MAYURBHANJ,2011,0,0
NAYAGARH,2011,0,0
NOWRANGPUR,2011,0,0
NUAPADA,2011,0,0
PURI,2011,0,0
RAYAGADA,2011,0,0
ROURKELA,2011,0,0
SAMBALPUR,2011,1,0
SONEPUR,2011,1,0
SRP(CUTTACK),2011,0,0
SRP(ROURKELA),2011,0,0
SUNDARGARH,2011,0,0
TOTAL,2011,6,0
AMRITSAR,2011,0,0
BARNALA,2011,0,0
BATALA,2011,0,0
BHATINDA,2011,0,0
CP AMRITSAR,2011,0,0
CP JALANDHAR,2011,0,0
CP LUDHIANA,2011,0,0
FARIDKOT,2011,0,0
FATEHGARH SAHIB,2011,0,0
FAZILKA,2011,0,0
FEROZPUR,2011,0,0
G.R.P,2011,0,0
GURDASPUR,2011,0,0
HOSHIARPUR,2011,0,0
JALANDHAR,2011,0,0
KAPURTHALA,2011,0,0
KHANNA,2011,0,0
LUDHIANA,2011,0,0
MANSA,2011,0,0
MOGA,2011,0,0
MUKTSAR,2011,0,0
PATHANKOT,2011,0,0
PATIALA,2011,0,0
ROPAR,2011,0,0
SANGRUR,2011,0,0
SAS NGR,2011,0,0
SBS NAGAR,2011,0,0
TARN TARAN,2011,0,0
TOTAL,2011,0,0
AJMER,2011,0,0
ALWAR,2011,6,0
BANSWARA,2011,1,0
BARAN,2011,0,0
BARMER,2011,2,0
BHARATPUR,2011,0,0
BHILWARA,2011,0,0
BIKANER,2011,0,0
BUNDI,2011,1,0
CHITTORGARH,2011,0,0
CHURU,2011,0,0
DAUSA,2011,0,0
DHOLPUR,2011,0,0
DUNGARPUR,2011,0,0
G.R.P.AJMER,2011,0,0
G.R.P.JODHPUR,2011,0,0
GANGANAGAR,2011,0,0
HANUMANGARH,2011,0,0
JAIPUR EAST,2011,0,0
JAIPUR NORTH,2011,0,0
JAIPUR RURAL,2011,1,0
JAIPUR SOUTH,2011,0,0
JAIPUR WEST,2011,0,0
JAISALMER,2011,0,0
JALORE,2011,2,0
JHALAWAR,2011,3,0
JHUNJHUNU,2011,0,0
JODHPUR CITY,2011,0,0
JODHPUR RURAL,2011,0,0
KARAULI,2011,0,0
KOTA CITY,2011,1,0
KOTA RURAL,2011,0,0
NAGAUR,2011,0,0
PALI,2011,0,0
PRATAPGARH,2011,0,0
RAJSAMAND,2011,1,0
SAWAI MADHOPUR,2011,0,0
SIKAR,2011,0,0
SIROHI,2011,1,0
TONK,2011,0,0
UDAIPUR,2011,0,0
TOTAL,2011,19,0
EAST,2011,0,0
NORTH,2011,0,0
SOUTH,2011,0,0
WEST,2011,0,0
TOTAL,2011,0,0
ARIYALUR,2011,0,0
CHENNAI,2011,0,0
CHENNAI RLY.,2011,0,0
COIMBATORE RURAL,2011,0,0
COIMBATORE URBAN,2011,0,0
CUDDALORE,2011,0,0
DHARMAPURI,2011,0,0
DINDIGUL,2011,0,0
ERODE,2011,0,0
KANCHIPURAM,2011,0,0
KANYAKUMARI,2011,0,0
KARUR,2011,0,0
KRISHNAGIRI,2011,0,0
MADURAI RURAL,2011,0,0
MADURAI URBAN,2011,0,0
NAGAPATTINAM,2011,0,0
NAMAKKAL,2011,0,0
NILGIRIS,2011,0,0
PERAMBALUR,2011,0,0
PUDUKOTTAI,2011,0,0
RAMNATHAPURAM,2011,0,0
SALEM RURAL,2011,0,0
SALEM URBAN,2011,0,0
